iter	Passed	Remaining
703	1197	503
704	1198	501
705	1199	499
706	1200	497
707	1201	495
708	1202	493
709	1203	491
710	1204	489
711	1205	487
712	1206	485
713	1207	483
714	1207	481
715	1208	479
716	1209	477
717	1214	476
718	1216	475
719	1218	473
720	1219	471
721	1220	469
722	1221	468
723	1222	466
724	1224	464
725	1225	462
726	1230	462
727	1232	460
728	1234	459
729	1236	457
730	1237	455
731	1238	453
732	1239	451
733	1241	449
734	1245	449
735	1246	447
736	1248	445
737	1249	443
738	1250	441
739	1251	439
740	1252	437
741	1253	435
742	1254	433
743	1254	431
744	1255	429
745	1258	428
746	1260	426
747	1261	424
748	1262	422
749	1263	421
750	1264	419
751	1264	417
752	1265	415
753	1266	413
754	1267	411
755	1268	409
756	1269	407
757	1270	405
758	1271	403
759	1275	402
760	1276	400
761	1277	398
762	1278	397
763	1279	395
764	1280	393
765	1281	391
766	1282	389
767	1283	387
768	1284	385
769	1285	383
770	1286	381
771	1287	380
772	1289	378
773	1290	376
774	1291	374
775	1292	372
776	1292	371
777	1293	369
778	1294	367
779	1295	365
780	1296	363
781	1297	361
782	1297	359
783	1298	357
784	1302	356
785	1304	355
786	1304	353
787	1305	351
788	1306	349
789	1307	347
790	1308	345
791	1309	343
792	1310	341
793	1311	340
794	1311	338
795	1312	336
796	1315	334
797	1319	333
798	1320	332
799	1321	330
800	1322	328
801	1323	326
802	1325	325
803	1327	323
804	1328	321
805	1330	320
806	1334	319
807	1334	317
808	1335	315
809	1336	313
810	1337	311
811	1338	309
812	1339	308
813	1340	306
814	1341	304
815	1342	302
816	1344	301
817	1345	299
818	1349	298
819	1350	296
820	1351	294
821	1353	293
822	1354	291
823	1355	289
824	1356	287
825	1358	286
826	1359	284
827	1360	282
828	1364	281
829	1365	279
830	1366	277
831	1367	276
832	1368	274
833	1369	272
834	1370	270
835	1371	269
836	1372	267
837	1373	265
838	1374	263
839	1375	262
840	1378	260
841	1380	258
842	1381	257
843	1382	255
844	1382	253
845	1383	251
846	1385	250
847	1386	248
848	1387	246
849	1388	244
850	1389	243
851	1390	241
852	1391	239
853	1394	238
854	1395	236
855	1396	235
856	1397	233
857	1399	231
858	1400	229
859	1401	228
860	1401	226
861	1402	224
862	1403	222
863	1404	221
864	1405	219
865	1405	217
866	1406	215
867	1410	214
868	1411	212
869	1412	211
870	1414	209
871	1415	207
872	1416	206
873	1418	204
874	1419	202
875	1420	201
876	1425	199
877	1427	198
878	1429	196
879	1430	195
880	1432	193
881	1432	191
882	1433	189
883	1434	188
884	1435	186
885	1436	184
886	1436	183
887	1437	181
888	1441	179
889	1442	178
890	1443	176
891	1444	174
892	1445	173
893	1446	171
894	1446	169
895	1447	168
896	1448	166
897	1449	164
898	1449	162
899	1450	161
900	1451	159
901	1452	157
902	1453	156
903	1456	154
904	1457	152
905	1458	151
906	1460	149
907	1461	148
908	1463	146
909	1464	144
910	1465	143
911	1466	141
912	1466	139
913	1467	138
914	1470	136
915	1472	135
916	1473	133
917	1474	131
918	1475	130
919	1475	128
920	1476	126
921	1477	124
922	1478	123
923	1478	121
924	1479	119
925	1480	118
926	1481	116
927	1481	114
928	1482	113
929	1485	111
930	1487	110
931	1487	108
932	1488	106
933	1489	105
934	1490	103
935	1491	101
936	1491	100
937	1492	98
938	1493	97
939	1494	95
940	1495	93
941	1496	92
942	1496	90
943	1497	88
944	1498	87
945	1500	85
946	1501	84
947	1502	82
948	1503	80
949	1504	79
950	1505	77
951	1505	75
952	1506	74
953	1507	72
954	1508	71
955	1509	69
956	1510	67
957	1510	66
958	1511	64
959	1515	63
960	1517	61
961	1518	59
962	1519	58
963	1520	56
964	1521	55
965	1522	53
966	1523	51
967	1524	50
968	1525	48
969	1526	47
970	1527	45
971	1527	44
972	1531	42
973	1532	40
974	1533	39
975	1534	37
976	1535	36
977	1535	34
978	1536	32
979	1537	31
980	1538	29
981	1538	28
982	1539	26
983	1541	25
984	1541	23
985	1542	21
986	1543	20
987	1546	18
988	1547	17
989	1548	15
990	1549	14
991	1550	12
992	1550	10
993	1551	9
994	1552	7
995	1553	6
996	1554	4
997	1555	3
998	1556	1
999	1558	0
